trade_cd,trade_time,institution_name,trader_name,trade_price,bond_amount,trade_amount,trade_direction
CBT20230316305633,2023-03-16 16:11:49+08:00,华创证券有限责任公司,王莹,106.3599,100000000.0,107478684.53,buy
CBT20230317305102,2023-03-17 15:21:05+08:00,东海证券股份有限公司,郭宇涵,106.3584,100000000.0,107518620.99,buy
CBT20230317302290,2023-03-17 14:10:33+08:00,潍坊银行股份有限公司,肖山,106.3595,100000000.0,107488643.65,buy
CBT20230329306312,2023-03-29 15:55:54+08:00,华创证券有限责任公司,何畅,107.0945,100000000.0,108347953.04,buy
CBT20230315308736,2023-03-15 17:08:47+08:00,东海证券股份有限公司,温妍超,106.3139,100000000.0,107432684.53,buy
CBT20230403303454,2023-04-03 14:38:13+08:00,华宝证券股份有限公司,林斯妤,107.0924,100000000.0,108397648.62,buy
CBT20230403304042,2023-04-03 14:49:32+08:00,东海证券股份有限公司,郭宇涵,107.094,100000000.0,108399248.62,buy
CBT20230406301264,2023-04-06 13:45:53+08:00,华创证券有限责任公司,王莹,107.4633,100000000.0,108799625.97,buy
CBT20231106305639,2023-11-06 15:00:07+08:00,中国国际金融股份有限公司,周佳,109.3647,50000000.0,55507757.61,buy
CBT20230705307694,2023-07-05 15:23:07+08:00,川财证券有限责任公司,赖颂怡,110.4894,50000000.0,55443409.24,buy
CBT20230704308129,2023-07-04 16:10:54+08:00,广东南海农村商业银行股份有限公司,曹兆全,110.4421,60000000.0,66497596.96,buy
CBT20230704306299,2023-07-04 15:39:00+08:00,川财证券有限责任公司,赖颂怡,110.394,100000000.0,110781228.26,buy
CBT20230704306309,2023-07-04 15:39:11+08:00,川财证券有限责任公司,赖颂怡,110.394,100000000.0,110781228.26,buy
CBT20230704306282,2023-07-04 15:38:44+08:00,川财证券有限责任公司,赖颂怡,110.394,60000000.0,66468736.96,buy
CBT20230705307661,2023-07-05 15:22:42+08:00,川财证券有限责任公司,赖颂怡,110.4894,100000000.0,110886818.48,buy
CBT20230705307683,2023-07-05 15:22:55+08:00,川财证券有限责任公司,赖颂怡,110.4894,100000000.0,110886818.48,buy
CBT20230706304704,2023-07-06 14:59:58+08:00,中天证券股份有限公司,贾梦洋,110.4894,100000000.0,110886818.48,buy
CBT20230706304696,2023-07-06 14:59:50+08:00,中天证券股份有限公司,贾梦洋,110.4894,100000000.0,110886818.48,buy
CBT20230706301267,2023-07-06 13:30:13+08:00,川财证券有限责任公司,李丹,110.4414,100000000.0,110838818.48,buy
CBT20230706301269,2023-07-06 13:30:13+08:00,川财证券有限责任公司,李丹,110.4414,100000000.0,110838818.48,buy
CBT20230707305018,2023-07-07 15:07:47+08:00,第一创业证券股份有限公司,刘俊麒,110.5849,100000000.0,110992508.7,buy
CBT20230707301001,2023-07-07 11:40:09+08:00,川财证券有限责任公司,李丹,110.5118,100000000.0,110919408.7,buy
CBT20230707301002,2023-07-07 11:40:09+08:00,川财证券有限责任公司,李丹,110.5118,100000000.0,110919408.7,buy
CBT20230710305019,2023-07-10 15:14:39+08:00,第一创业证券股份有限公司,刘俊麒,110.5828,100000000.0,111020979.35,buy
CBT20230710304402,2023-07-10 14:58:55+08:00,潍坊银行股份有限公司,刘湘雨,110.8237,50000000.0,55630939.67,buy
CBT20231129304752,2023-11-29 14:32:46+08:00,华宝证券股份有限公司,林斯妤,110.3261,50000000.0,55168201.1,buy
CBT20230711306688,2023-07-11 15:35:05+08:00,第一创业证券股份有限公司,刘俊麒,110.823,50000000.0,55635684.78,buy
CBT20230711306689,2023-07-11 15:35:06+08:00,中国国际金融股份有限公司,张婉靖,110.823,50000000.0,55635684.78,buy
CBT20231129303047,2023-11-29 13:53:10+08:00,德邦证券股份有限公司,方薇,110.3737,50000000.0,55192001.1,buy
CBT20231129304644,2023-11-29 14:31:48+08:00,华宝证券股份有限公司,林斯妤,110.3261,200000000.0,220672804.4,buy
CBT20231206305408,2023-12-06 15:15:52+08:00,华宝证券股份有限公司,林斯妤,110.339,200000000.0,220863439.56,buy
CBT20231130302278,2023-11-30 13:45:12+08:00,华金证券股份有限公司,艾里米拉,110.3436,50000000.0,55187253.3,buy
CBT20231206308727,2023-12-06 16:44:13+08:00,长线资本基金(澳洲)有限公司,孙姣,110.3581,50000000.0,55225409.89,buy
CBT20231129301575,2023-11-29 13:30:58+08:00,川财证券有限责任公司,马白帆,110.3356,50000000.0,55172951.1,buy
CBT20231130303524,2023-11-30 14:29:01+08:00,华宝证券股份有限公司,林斯妤,110.3417,50000000.0,55186303.3,buy
CBT20231204301849,2023-12-04 14:04:01+08:00,华宝证券股份有限公司,林斯妤,110.3413,200000000.0,220806226.37,buy
CBT20231206308726,2023-12-06 16:44:08+08:00,长线资本基金(澳洲)有限公司,孙姣,110.3581,50000000.0,55225409.89,buy
CBT20231206305456,2023-12-06 15:16:49+08:00,华宝证券股份有限公司,林斯妤,110.339,100000000.0,110431719.78,buy
CBT20231207301117,2023-12-07 13:35:23+08:00,鄂尔多斯银行股份有限公司,郭宁,110.5294,100000000.0,110622119.78,buy
CBT20231211303601,2023-12-11 14:19:24+08:00,华创证券有限责任公司,马延威,110.5294,100000000.0,110663328.57,buy
CBT20231207300970,2023-12-07 13:33:23+08:00,华源证券股份有限公司,钱淑雯,110.5104,50000000.0,55301559.89,buy
CBT20231207300652,2023-12-07 13:30:11+08:00,华源证券股份有限公司,钱淑雯,110.5104,50000000.0,55301559.89,buy
CBT20231211303871,2023-12-11 14:24:34+08:00,长线资本基金(澳洲)有限公司,孙姣,110.5351,50000000.0,55339665.38,buy
CBT20231211303417,2023-12-11 14:14:56+08:00,交通银行股份有限公司,何嘉隆,110.5314,50000000.0,55332664.29,buy
CBT20231211303419,2023-12-11 14:14:56+08:00,交通银行股份有限公司,何嘉隆,110.5314,50000000.0,55332664.29,buy
CBT20231211303860,2023-12-11 14:24:14+08:00,长线资本基金(澳洲)有限公司,孙姣,110.5351,50000000.0,55339665.38,buy
CBT20231212303386,2023-12-12 14:14:11+08:00,华创证券有限责任公司,马延威,110.85,50000000.0,55497115.38,buy
CBT20231212303392,2023-12-12 14:14:19+08:00,华创证券有限责任公司,马延威,110.85,50000000.0,55497115.38,buy
CBT20231212303172,2023-12-12 14:08:34+08:00,吉林九台农村商业银行股份有限公司,刘刊,110.8596,50000000.0,55501915.38,buy
CBT20231212303171,2023-12-12 14:08:34+08:00,吉林九台农村商业银行股份有限公司,刘刊,110.8596,50000000.0,55501915.38,buy
CBT20231215307209,2023-12-15 15:14:10+08:00,交通银行股份有限公司,何嘉隆,111.0966,100000000.0,111271737.36,buy
CBT20231214311293,2023-12-14 16:02:20+08:00,粤开证券股份有限公司,葛天翔,110.8676,100000000.0,111032435.16,buy
CBT20231214305975,2023-12-14 14:48:19+08:00,鄂尔多斯银行股份有限公司,郭宁,110.8867,100000000.0,111051535.16,buy
CBT20231218308494,2023-12-18 15:27:55+08:00,中信证券股份有限公司,王焕智,111.1134,50000000.0,55659721.98,buy
CBT20231215301316,2023-12-15 11:46:41+08:00,华创证券有限责任公司,马延威,111.0942,50000000.0,55650121.98,buy
CBT20231215301317,2023-12-15 11:46:42+08:00,华创证券有限责任公司,马延威,111.0942,50000000.0,55650121.98,buy
CBT20231218308495,2023-12-18 15:27:55+08:00,中信证券股份有限公司,王焕智,111.1134,50000000.0,55659721.98,buy
CBT20231225307892,2023-12-25 15:25:11+08:00,华创证券有限责任公司,马延威,112.8398,100000000.0,113128261.54,buy
CBT20231221304841,2023-12-21 14:55:25+08:00,华源证券股份有限公司,钱淑雯,112.6342,50000000.0,56435575.27,buy
CBT20231221303405,2023-12-21 14:20:49+08:00,长线资本基金(澳洲)有限公司,孙姣,112.2517,50000000.0,56244325.27,buy
CBT20231222302491,2023-12-22 13:35:42+08:00,华源证券股份有限公司,钱淑雯,112.8239,50000000.0,56535576.37,buy
CBT20231222303973,2023-12-22 14:05:57+08:00,华创证券有限责任公司,马延威,112.6492,50000000.0,56448226.37,buy
CBT20231222303495,2023-12-22 13:54:34+08:00,鄂尔多斯银行股份有限公司,郭宁,112.8337,100000000.0,113080952.75,buy
CBT20231222303494,2023-12-22 13:54:34+08:00,粤开证券股份有限公司,周荃,112.8337,100000000.0,113111859.34,buy
CBT20231222300881,2023-12-22 10:59:08+08:00,长线资本基金(澳洲)有限公司,孙姣,112.6512,50000000.0,56449226.37,buy
CBT20231220310761,2023-12-20 16:33:09+08:00,华创证券有限责任公司,马延威,112.2497,50000000.0,56243325.27,buy
CBT20231221304829,2023-12-21 14:55:09+08:00,华源证券股份有限公司,钱淑雯,112.6342,50000000.0,56435575.27,buy
CBT20231221303401,2023-12-21 14:20:44+08:00,长线资本基金(澳洲)有限公司,孙姣,112.2517,50000000.0,56244325.27,buy
CBT20231221306564,2023-12-21 15:29:26+08:00,潍坊银行股份有限公司,王梓涵,112.6392,100000000.0,112876150.55,buy
CBT20231222303993,2023-12-22 14:06:05+08:00,华创证券有限责任公司,马延威,112.6492,50000000.0,56448226.37,buy
CBT20231222302442,2023-12-22 13:35:28+08:00,华源证券股份有限公司,钱淑雯,112.8239,50000000.0,56535576.37,buy
CBT20231222300877,2023-12-22 10:59:04+08:00,长线资本基金(澳洲)有限公司,孙姣,112.6512,50000000.0,56449226.37,buy
CBT20231225306493,2023-12-25 15:02:11+08:00,长线资本基金(澳洲)有限公司,孙姣,112.8418,50000000.0,56565130.77,buy
CBT20231225306489,2023-12-25 15:02:07+08:00,长线资本基金(澳洲)有限公司,孙姣,112.8418,50000000.0,56565130.77,buy
CBT20231225304992,2023-12-25 14:35:57+08:00,交通银行股份有限公司,何嘉隆,112.8407,100000000.0,113118859.34,buy
CBT20200601301390,2020-06-01 13:52:37+08:00,东方证券股份有限公司,陈玉婷,99.9,100000000.0,99940760.87,buy
CBT20200601302578,2020-06-01 14:39:45+08:00,山西证券股份有限公司,赖颂怡,99.9,100000000.0,99940760.87,buy
CBT20200601301470,2020-06-01 13:55:45+08:00,申万宏源证券有限公司,王丹,100.0,300000000.0,300122282.61,buy
CBT20200601302177,2020-06-01 14:24:08+08:00,厦门银行股份有限公司,赵颖,99.9,200000000.0,199881521.74,buy
CBT20200601302283,2020-06-01 14:28:19+08:00,东方证券股份有限公司,陈玉婷,99.9,200000000.0,199881521.74,buy
CBT20231220310762,2023-12-20 16:33:09+08:00,华创证券有限责任公司,马延威,112.2497,50000000.0,56243325.27,buy
CBT20200917302255,2020-09-17 14:49:02+08:00,天风证券股份有限公司,曾鑫,94.3449,90000000.0,85937583.91,buy
CBT20230330733544,2023-03-30 14:28:07+08:00,华创证券有限责任公司,何畅,107.0941,100000000.0,108357912.15,sell
CBT20230316305633,2023-03-16 16:11:49+08:00,东海证券股份有限公司,温妍超,106.3599,100000000.0,107478684.53,sell
CBT20230317305102,2023-03-17 15:21:05+08:00,潍坊银行股份有限公司,肖山,106.3584,100000000.0,107518620.99,sell
CBT20230317302290,2023-03-17 14:10:33+08:00,华创证券有限责任公司,王莹,106.3595,100000000.0,107488643.65,sell
CBT20230329306312,2023-03-29 15:55:54+08:00,东海证券股份有限公司,郭宇涵,107.0945,100000000.0,108347953.04,sell
CBT20230621300804,2023-06-21 10:55:34+08:00,华宝证券股份有限公司,林斯妤,110.4041,150000000.0,165972997.83,sell
CBT20230403304042,2023-04-03 14:49:32+08:00,华宝证券股份有限公司,林斯妤,107.094,100000000.0,108399248.62,sell
CBT20230404302939,2023-04-04 14:32:13+08:00,华创证券有限责任公司,王莹,107.4633,100000000.0,108799625.97,sell
CBT20231106305640,2023-11-06 15:00:07+08:00,中国国际金融股份有限公司,周佳,109.4118,50000000.0,55531307.61,sell
CBT20230406301264,2023-04-06 13:45:53+08:00,东海证券股份有限公司,郭宇涵,107.4633,100000000.0,108799625.97,sell
CBT20230621300781,2023-06-21 10:55:06+08:00,华宝证券股份有限公司,林斯妤,110.4041,150000000.0,165972997.83,sell
CBT20230706301960,2023-07-06 13:45:50+08:00,川财证券有限责任公司,李丹,110.4414,100000000.0,110838818.48,sell
CBT20230705306152,2023-07-05 14:56:10+08:00,川财证券有限责任公司,李丹,110.4171,100000000.0,110804328.26,sell
CBT20230705306153,2023-07-05 14:56:10+08:00,川财证券有限责任公司,李丹,110.4171,100000000.0,110804328.26,sell
CBT20230706301983,2023-07-06 13:46:20+08:00,川财证券有限责任公司,李丹,110.4414,100000000.0,110838818.48,sell
CBT20230706304704,2023-07-06 14:59:58+08:00,川财证券有限责任公司,赖颂怡,110.4894,100000000.0,110886818.48,sell
CBT20230706304696,2023-07-06 14:59:50+08:00,川财证券有限责任公司,赖颂怡,110.4894,100000000.0,110886818.48,sell
CBT20230706301267,2023-07-06 13:30:13+08:00,交通银行股份有限公司,何嘉隆,110.4414,100000000.0,110838818.48,sell
CBT20230707304660,2023-07-07 14:59:24+08:00,中天证券股份有限公司,贾梦洋,110.4887,100000000.0,110896308.7,sell
CBT20230706301269,2023-07-06 13:30:13+08:00,交通银行股份有限公司,何嘉隆,110.4414,100000000.0,110838818.48,sell
CBT20230707304635,2023-07-07 14:59:19+08:00,中天证券股份有限公司,贾梦洋,110.4887,100000000.0,110896308.7,sell
CBT20230707305018,2023-07-07 15:07:47+08:00,广东南海农村商业银行股份有限公司,曹兆全,110.5849,100000000.0,110992508.7,sell
CBT20230707303663,2023-07-07 14:37:08+08:00,川财证券有限责任公司,李丹,110.5368,100000000.0,110944408.7,sell
CBT20230707301001,2023-07-07 11:40:09+08:00,交通银行股份有限公司,何嘉隆,110.5118,100000000.0,110919408.7,sell
CBT20230707303641,2023-07-07 14:36:47+08:00,川财证券有限责任公司,李丹,110.5368,100000000.0,110944408.7,sell
CBT20230707301002,2023-07-07 11:40:09+08:00,交通银行股份有限公司,何嘉隆,110.5118,100000000.0,110919408.7,sell
CBT20230707300486,2023-07-07 10:47:58+08:00,第一创业证券股份有限公司,刘俊麒,110.5849,100000000.0,110992508.7,sell
CBT20230710304402,2023-07-10 14:58:55+08:00,第一创业证券股份有限公司,刘俊麒,110.8237,50000000.0,55630939.67,sell
CBT20230710304579,2023-07-10 15:05:14+08:00,第一创业证券股份有限公司,刘俊麒,110.5828,100000000.0,111020979.35,sell
CBT20230711305401,2023-07-11 15:14:38+08:00,第一创业证券股份有限公司,刘俊麒,110.823,50000000.0,55635684.78,sell
CBT20230711306688,2023-07-11 15:35:05+08:00,中国国际金融股份有限公司,张婉靖,110.823,50000000.0,55635684.78,sell
CBT20230711306689,2023-07-11 15:35:06+08:00,潍坊银行股份有限公司,刘湘雨,110.823,50000000.0,55635684.78,sell
CBT20231129303047,2023-11-29 13:53:10+08:00,川财证券有限责任公司,马白帆,110.3737,50000000.0,55192001.1,sell
CBT20231129306052,2023-11-29 14:57:56+08:00,华宝证券股份有限公司,林斯妤,110.3642,200000000.0,220749004.4,sell
CBT20231129302492,2023-11-29 13:42:55+08:00,德邦证券股份有限公司,方薇,110.4022,50000000.0,55206251.1,sell
CBT20231130302278,2023-11-30 13:45:12+08:00,华宝证券股份有限公司,林斯妤,110.3436,50000000.0,55187253.3,sell
CBT20231206308727,2023-12-06 16:44:13+08:00,东海证券股份有限公司,温妍超,110.3581,50000000.0,55225409.89,sell
CBT20231129301575,2023-11-29 13:30:58+08:00,华宝证券股份有限公司,林斯妤,110.3356,50000000.0,55172951.1,sell
CBT20231206308726,2023-12-06 16:44:08+08:00,东海证券股份有限公司,温妍超,110.3581,50000000.0,55225409.89,sell
CBT20231207301117,2023-12-07 13:35:23+08:00,华源证券股份有限公司,钱淑雯,110.5294,100000000.0,110622119.78,sell
CBT20231206303213,2023-12-06 14:22:19+08:00,华金证券股份有限公司,艾里米拉,110.3398,50000000.0,55211108.79,sell
CBT20231211303601,2023-12-11 14:19:24+08:00,鄂尔多斯银行股份有限公司,郭宁,110.5294,100000000.0,110663328.57,sell
CBT20231207300970,2023-12-07 13:33:23+08:00,长线资本基金(澳洲)有限公司,孙姣,110.5104,50000000.0,55301559.89,sell
CBT20231207300652,2023-12-07 13:30:11+08:00,长线资本基金(澳洲)有限公司,孙姣,110.5104,50000000.0,55301559.89,sell
CBT20231211303871,2023-12-11 14:24:34+08:00,华源证券股份有限公司,钱淑雯,110.5351,50000000.0,55339665.38,sell
CBT20231211303417,2023-12-11 14:14:56+08:00,华创证券有限责任公司,马延威,110.5314,50000000.0,55332664.29,sell
CBT20231211304030,2023-12-11 14:27:12+08:00,交通银行股份有限公司,何嘉隆,110.5314,100000000.0,110675630.77,sell
CBT20231211303419,2023-12-11 14:14:56+08:00,华创证券有限责任公司,马延威,110.5314,50000000.0,55332664.29,sell
CBT20231211303860,2023-12-11 14:24:14+08:00,华源证券股份有限公司,钱淑雯,110.5351,50000000.0,55339665.38,sell
CBT20231212303386,2023-12-12 14:14:11+08:00,长线资本基金(澳洲)有限公司,孙姣,110.85,50000000.0,55497115.38,sell
CBT20231212303392,2023-12-12 14:14:19+08:00,长线资本基金(澳洲)有限公司,孙姣,110.85,50000000.0,55497115.38,sell
CBT20231212303172,2023-12-12 14:08:34+08:00,华创证券有限责任公司,马延威,110.8596,50000000.0,55501915.38,sell
CBT20231212303171,2023-12-12 14:08:34+08:00,华创证券有限责任公司,马延威,110.8596,50000000.0,55501915.38,sell
CBT20231214311293,2023-12-14 16:02:20+08:00,吉林九台农村商业银行股份有限公司,刘刊,110.8676,100000000.0,111032435.16,sell
CBT20231214312810,2023-12-14 16:26:04+08:00,鄂尔多斯银行股份有限公司,郭宁,110.8867,100000000.0,111061837.36,sell
CBT20231214305975,2023-12-14 14:48:19+08:00,粤开证券股份有限公司,葛天翔,110.8867,100000000.0,111051535.16,sell
CBT20231215304829,2023-12-15 14:30:28+08:00,长线资本基金(澳洲)有限公司,孙姣,111.0946,50000000.0,55634868.68,sell
CBT20231218308494,2023-12-18 15:27:55+08:00,华创证券有限责任公司,马延威,111.1134,50000000.0,55659721.98,sell
CBT20231215304839,2023-12-15 14:30:42+08:00,长线资本基金(澳洲)有限公司,孙姣,111.0946,50000000.0,55634868.68,sell
CBT20231215301316,2023-12-15 11:46:41+08:00,交通银行股份有限公司,何嘉隆,111.0942,50000000.0,55650121.98,sell
CBT20231215301317,2023-12-15 11:46:42+08:00,交通银行股份有限公司,何嘉隆,111.0942,50000000.0,55650121.98,sell
CBT20231218308495,2023-12-18 15:27:55+08:00,华创证券有限责任公司,马延威,111.1134,50000000.0,55659721.98,sell
CBT20231225307892,2023-12-25 15:25:11+08:00,交通银行股份有限公司,何嘉隆,112.8398,100000000.0,113128261.54,sell
CBT20231221310994,2023-12-21 16:59:49+08:00,潍坊银行股份有限公司,王梓涵,112.6392,100000000.0,112886452.75,sell
CBT20231221304841,2023-12-21 14:55:25+08:00,长线资本基金(澳洲)有限公司,孙姣,112.6342,50000000.0,56435575.27,sell
CBT20231221303405,2023-12-21 14:20:49+08:00,华创证券有限责任公司,马延威,112.2517,50000000.0,56244325.27,sell
CBT20231222302491,2023-12-22 13:35:42+08:00,长线资本基金(澳洲)有限公司,孙姣,112.8239,50000000.0,56535576.37,sell
CBT20231222303495,2023-12-22 13:54:34+08:00,华源证券股份有限公司,钱淑雯,112.8337,100000000.0,113080952.75,sell
CBT20231222303494,2023-12-22 13:54:34+08:00,鄂尔多斯银行股份有限公司,郭宁,112.8337,100000000.0,113111859.34,sell
CBT20231222300881,2023-12-22 10:59:08+08:00,华创证券有限责任公司,马延威,112.6512,50000000.0,56449226.37,sell
CBT20231220310761,2023-12-20 16:33:09+08:00,中信证券股份有限公司,王焕智,112.2497,50000000.0,56243325.27,sell
CBT20231221304829,2023-12-21 14:55:09+08:00,长线资本基金(澳洲)有限公司,孙姣,112.6342,50000000.0,56435575.27,sell
CBT20231221303401,2023-12-21 14:20:44+08:00,华创证券有限责任公司,马延威,112.2517,50000000.0,56244325.27,sell
CBT20231221306564,2023-12-21 15:29:26+08:00,华源证券股份有限公司,钱淑雯,112.6392,100000000.0,112876150.55,sell
CBT20231222302442,2023-12-22 13:35:28+08:00,长线资本基金(澳洲)有限公司,孙姣,112.8239,50000000.0,56535576.37,sell
CBT20231222300877,2023-12-22 10:59:04+08:00,华创证券有限责任公司,马延威,112.6512,50000000.0,56449226.37,sell
CBT20231225306493,2023-12-25 15:02:11+08:00,华创证券有限责任公司,马延威,112.8418,50000000.0,56565130.77,sell
